Restaurant,Type
Trop Smoothie,Healthy
Chipotle,Healthy
Juice It,Healthy
PowerPlate,Healthy
Ruby Tuesday,Healthy
Panera,Healthy
Jimmy John's,Healthy
Texas Roadhouse,Steak
Longhorn Steakhouse,Steak
Applebee's,Steak
Granite City,Favorite
Texas Roadhouse,Favorite
Trop Smoothie,Favorite
Juice It,Favorite
Applebees,Favorite
Spitfire,Favorite
Ruby Tuesday,Favorite
Chic Fil A,Favorite
Vinyl Taco,Favorite
Panera,Favorite
Juice It,Fast
McDonald's,Fast
DQ,Fast
Taco Bell,Fast
Taco John's,Fast
Jimmy Johns,Fast
Firehouse,Fast
Trop Smoothie,Fast
Five Guy's,Fast
Smash Burger,Fast
Chick Fil A,Fast
JL Beers,Fast
Moe's,Mexican
Panchero's,Mexican
Qdoba,Mexican
Chipotle,Mexican
Barbacoa,Mexican
Vinyl Taco,Mexican
Mango's,Mexican
Johnny Carino's,Italian
Olive Garden,Italian
Toscana,Italian
Rhombus,Pizza
Boston's,Pizza
Domino's,Pizza
Pizza Hut,Pizza
Pizza Patrol,Pizza
Old Chicago,Pizza
Lucky 13,Burgers
Granite City,Burgers
Applebee's,Burgers
Sickie's,Burgers
Five Guys,Burgers
Smash Burger,Burgers
Pounds,Downtown
Toscana,Downtown
Boiler Room,Downtown
Rhombus,Downtown
Deaner's,Diner
Kroll's,Diner
Country Kitchen,Diner
Trop Smoothie,All
Chipotle,All
Juice It,All
Powerplate,All
Ruby Tuesday,All
Panera,All
Texas Roadhouse,All
Longhorn Steakhouse,All
Applebee's,All
Granite City,All
Spitfire,All
Chick Fil A,All
Vinyl Taco,All
McDonalds',All
Taco Bell,All
Taco John's,All
Five Guy's,All
Smash Burger,All
DQ,All
Moe's,All
Pancheros,All
Qdoba,All
Barbacoa,All
Johnny Carino's,All
Olive Garden,All
Toscana,All
Rhombus,All
Boston's Pizza,All
Domino's,All
Pizza Hut,All
Pizza Patrol,All
Old Chicago,All
Lucky 13,All
Sickie's,All
Pounds,All
Deaner's,All
Kroll's,All
Country Kitchen,All
